Timestamp,J1,SPEED_J1,ACCEL_J1,J2,SPEED_J2,ACCEL_J2,J3,SPEED_J3,ACCEL_J3,J4,SPEED_J4,ACCEL_J4,J5,SPEED_J5,ACCEL_J5,J6,SPEED_J6,ACCEL_J6
2025-05-18 19:29:44,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 19:31:21,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 19:41:40,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 20:47:36,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:11:40,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:12:48,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:21:04,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:26:06,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:27:12,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:39:30,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 21:42:16,9.69,1.91,8.36,44.35,8.77,35.98,36.44,7.2,29.44,25.01,4.95,23.5,0.0,0.0,0.0,9.69,1.91,8.36
2025-05-18 22:08:07,13.91,0.42,5.25,59.65,1.84,35.35,53.75,1.64,26.43,34.49,1.07,18.74,0.0,0.0,0.0,13.91,0.42,5.25
